signal_id,family,description,inputs,information_horizon
dq2_process_ridge_a0.1_cum_margin,DQ2_EPA_RIDGE,Cumulative home-signed OOS EPA prediction from dq2_process_ridge_a0.1,"action_pass,down,ydstogo,log_ydstogo,yardline_100,remaining_minutes,elapsed_fraction,ep,time_to_throw,qb_dropback_depth,defender_distance_at_release,is_under_pressure,is_pressure_2yards,is_pressure_3yards,men_in_box,pocket_quality,pressure_x_dropback_depth,pocket_x_time_to_throw,depth_of_target,receiver_separation,defender_distance_at_catch,is_tight_coverage,is_open_target,catch_quality,separation_x_depth,time_to_first_contact,yards_before_contact,defenders_in_radius_at_tackle,rush_quality",POST_PLAY_RETROSPECTIVE_CV
dq2_process_ridge_a0.1_process_ewm5,DQ2_EPA_RIDGE,"Recent home-signed OOS process EPA, span 5","action_pass,down,ydstogo,log_ydstogo,yardline_100,remaining_minutes,elapsed_fraction,ep,time_to_throw,qb_dropback_depth,defender_distance_at_release,is_under_pressure,is_pressure_2yards,is_pressure_3yards,men_in_box,pocket_quality,pressure_x_dropback_depth,pocket_x_time_to_throw,depth_of_target,receiver_separation,defender_distance_at_catch,is_tight_coverage,is_open_target,catch_quality,separation_x_depth,time_to_first_contact,yards_before_contact,defenders_in_radius_at_tackle,rush_quality",POST_PLAY_RETROSPECTIVE_CV
dq2_process_ridge_a0.1_surprise_ewm5,DQ2_EPA_RIDGE,"Recent process-minus-realized EPA, span 5","action_pass,down,ydstogo,log_ydstogo,yardline_100,remaining_minutes,elapsed_fraction,ep,time_to_throw,qb_dropback_depth,defender_distance_at_release,is_under_pressure,is_pressure_2yards,is_pressure_3yards,men_in_box,pocket_quality,pressure_x_dropback_depth,pocket_x_time_to_throw,depth_of_target,receiver_separation,defender_distance_at_catch,is_tight_coverage,is_open_target,catch_quality,separation_x_depth,time_to_first_contact,yards_before_contact,defenders_in_radius_at_tackle,rush_quality",POST_PLAY_RETROSPECTIVE_CV
dq2_process_ridge_a0.1_process_ewm10,DQ2_EPA_RIDGE,"Recent home-signed OOS process EPA, span 10","action_pass,down,ydstogo,log_ydstogo,yardline_100,remaining_minutes,elapsed_fraction,ep,time_to_throw,qb_dropback_depth,defender_distance_at_release,is_under_pressure,is_pressure_2yards,is_pressure_3yards,men_in_box,pocket_quality,pressure_x_dropback_depth,pocket_x_time_to_throw,depth_of_target,receiver_separation,defender_distance_at_catch,is_tight_coverage,is_open_target,catch_quality,separation_x_depth,time_to_first_contact,yards_before_contact,defenders_in_radius_at_tackle,rush_quality",POST_PLAY_RETROSPECTIVE_CV
dq2_process_ridge_a0.1_surprise_ewm10,DQ2_EPA_RIDGE,"Recent process-minus-realized EPA, span 10","action_pass,down,ydstogo,log_ydstogo,yardline_100,remaining_minutes,elapsed_fraction,ep,time_to_throw,qb_dropback_depth,defender_distance_at_release,is_under_pressure,is_pressure_2yards,is_pressure_3yards,men_in_box,pocket_quality,pressure_x_dropback_depth,pocket_x_time_to_throw,depth_of_target,receiver_separation,defender_distance_at_catch,is_tight_coverage,is_open_target,catch_quality,separation_x_depth,time_to_first_contact,yards_before_contact,defenders_in_radius_at_tackle,rush_quality",POST_PLAY_RETROSPECTIVE_CV
dq2_process_ridge_a0.1_process_ewm20,DQ2_EPA_RIDGE,"Recent home-signed OOS process EPA, span 20","action_pass,down,ydstogo,log_ydstogo,yardline_100,remaining_minutes,elapsed_fraction,ep,time_to_throw,qb_dropback_depth,defender_distance_at_release,is_under_pressure,is_pressure_2yards,is_pressure_3yards,men_in_box,pocket_quality,pressure_x_dropback_depth,pocket_x_time_to_throw,depth_of_target,receiver_separation,defender_distance_at_catch,is_tight_coverage,is_open_target,catch_quality,separation_x_depth,time_to_first_contact,yards_before_contact,defenders_in_radius_at_tackle,rush_quality",POST_PLAY_RETROSPECTIVE_CV
dq2_process_ridge_a0.1_surprise_ewm20,DQ2_EPA_RIDGE,"Recent process-minus-realized EPA, span 20","action_pass,down,ydstogo,log_ydstogo,yardline_100,remaining_minutes,elapsed_fraction,ep,time_to_throw,qb_dropback_depth,defender_distance_at_release,is_under_pressure,is_pressure_2yards,is_pressure_3yards,men_in_box,pocket_quality,pressure_x_dropback_depth,pocket_x_time_to_throw,depth_of_target,receiver_separation,defender_distance_at_catch,is_tight_coverage,is_open_target,catch_quality,separation_x_depth,time_to_first_contact,yards_before_contact,defenders_in_radius_at_tackle,rush_quality",POST_PLAY_RETROSPECTIVE_CV
dq2_process_ridge_a1_cum_margin,DQ2_EPA_RIDGE,Cumulative home-signed OOS EPA prediction from dq2_process_ridge_a1,"action_pass,down,ydstogo,log_ydstogo,yardline_100,remaining_minutes,elapsed_fraction,ep,time_to_throw,qb_dropback_depth,defender_distance_at_release,is_under_pressure,is_pressure_2yards,is_pressure_3yards,men_in_box,pocket_quality,pressure_x_dropback_depth,pocket_x_time_to_throw,depth_of_target,receiver_separation,defender_distance_at_catch,is_tight_coverage,is_open_target,catch_quality,separation_x_depth,time_to_first_contact,yards_before_contact,defenders_in_radius_at_tackle,rush_quality",POST_PLAY_RETROSPECTIVE_CV
dq2_process_ridge_a1_process_ewm5,DQ2_EPA_RIDGE,"Recent home-signed OOS process EPA, span 5","action_pass,down,ydstogo,log_ydstogo,yardline_100,remaining_minutes,elapsed_fraction,ep,time_to_throw,qb_dropback_depth,defender_distance_at_release,is_under_pressure,is_pressure_2yards,is_pressure_3yards,men_in_box,pocket_quality,pressure_x_dropback_depth,pocket_x_time_to_throw,depth_of_target,receiver_separation,defender_distance_at_catch,is_tight_coverage,is_open_target,catch_quality,separation_x_depth,time_to_first_contact,yards_before_contact,defenders_in_radius_at_tackle,rush_quality",POST_PLAY_RETROSPECTIVE_CV
dq2_process_ridge_a1_surprise_ewm5,DQ2_EPA_RIDGE,"Recent process-minus-realized EPA, span 5","action_pass,down,ydstogo,log_ydstogo,yardline_100,remaining_minutes,elapsed_fraction,ep,time_to_throw,qb_dropback_depth,defender_distance_at_release,is_under_pressure,is_pressure_2yards,is_pressure_3yards,men_in_box,pocket_quality,pressure_x_dropback_depth,pocket_x_time_to_throw,depth_of_target,receiver_separation,defender_distance_at_catch,is_tight_coverage,is_open_target,catch_quality,separation_x_depth,time_to_first_contact,yards_before_contact,defenders_in_radius_at_tackle,rush_quality",POST_PLAY_RETROSPECTIVE_CV
