period,signal_id,family,threshold_quantile,orientation,horizon,trades,games,pnl,mean_return,median_return,win_rate,max_drawdown,profit_factor,mean_fair_markout,bootstrap_mean_return_p025,bootstrap_mean_return_p50,bootstrap_mean_return_p975,bootstrap_probability_positive,top_game_abs_pnl_share,leave_one_game_out_min_pnl,leave_one_game_out_max_pnl,pnl_by_entry_price_bucket
REG_WEEKS_14_18_CONFIRMATION,dq2_outcome_hgb_l15_r10_surprise_ewm10,DQ2_EPA_HGB,0.6,1,settle,78,78,53.89358923504576,0.06909434517313556,-1.0025,0.48717948717948717,69.9591669568605,1.1343979781422588,0.0341372183638056,-0.21118969545289307,0.06846086840754555,0.37419097588881095,0.6742,0.04139480176059104,18.464043780500297,63.91858923504576,"{"".15-.35"": 197.01832176705952, "".35-.65"": -55.50057177506169, "".65-.85"": -0.4599308234279862, "".85-1"": 3.060770066475916, ""0-.15"": -90.225}"
POSTSEASON_FINAL_AUDIT,dq2_outcome_hgb_l15_r10_surprise_ewm10,DQ2_EPA_HGB,0.6,1,settle,12,12,3.27038829571422,0.027253235797618514,0.1930291454442558,0.5833333333333334,27.75911517925247,1.0652446542785878,0.08854605291127056,-0.5042020802250003,0.026141113128717218,0.5469322720121239,0.5402,0.12270310164397451,-9.43188443155851,13.295388295714218,"{"".15-.35"": -20.049999999999997, "".35-.65"": 19.459805386829103, "".65-.85"": 3.1328947368421063, "".85-1"": 0.7276881720430101}"
CONFIRMATION_PLUS_FINAL,dq2_outcome_hgb_l15_r10_surprise_ewm10,DQ2_EPA_HGB,0.6,1,settle,90,90,57.16397753075996,0.06351553058973326,-0.4705851063829787,0.5,69.9591669568605,1.1267142754907402,0.041391729636800934,-0.18877654595159465,0.05953621800438509,0.31985456627486963,0.6798,0.036928319040890306,21.734432076214496,67.18897753075996,"{"".15-.35"": 176.9683217670595, "".35-.65"": -36.04076638823258, "".65-.85"": 2.67296391341412, "".85-1"": 3.788458238518926, ""0-.15"": -90.225}"
REG_WEEKS_14_18_CONFIRMATION,dq2_outcome_hgb_l7_r5_surprise_ewm5,DQ2_EPA_HGB,0.7,1,settle,78,78,44.89849498333141,0.05756217305555305,-1.0025,0.44871794871794873,161.84365555827821,1.1041547178178543,0.015233396934444633,-0.2451228447392698,0.05985388344928398,0.3777553392711759,0.6476,0.04697276847160348,2.2919160359629913,54.92349498333141,"{"".15-.35"": 182.7278193012175, "".35-.65"": -34.07261601931731, "".65-.85"": -16.361211019993814, "".85-1"": 2.8295027214250377, ""0-.15"": -90.225}"
POSTSEASON_FINAL_AUDIT,dq2_outcome_hgb_l7_r5_surprise_ewm5,DQ2_EPA_HGB,0.7,1,settle,12,12,-4.742679564552287,-0.039522329704602344,-0.46486559139784944,0.5,45.30297482837528,0.9211524594421897,0.029266295344394743,-0.6220857221361022,-0.044471480303990576,0.6058730417240006,0.4434,0.19239858134776328,-26.97574408068132,5.282320435447712,"{"".15-.35"": 2.1830645161290363, "".35-.65"": -10.786326989566435, "".65-.85"": 3.1328947368421063, "".85-1"": 0.7276881720430101}"
CONFIRMATION_PLUS_FINAL,dq2_outcome_hgb_l7_r5_surprise_ewm5,DQ2_EPA_HGB,0.7,1,settle,90,90,40.15581541877914,0.04461757268753232,-1.0025,0.45555555555555555,161.84365555827821,1.0817462780167524,0.017104450055771315,-0.238100179925559,0.04305212324183129,0.3388327464002559,0.6188,0.04166471411070561,-2.4507635285892775,50.18081541877914,"{"".15-.35"": 184.91088381734653, "".35-.65"": -44.85894300888375, "".65-.85"": -13.228316283151708, "".85-1"": 3.5571908934680474, ""0-.15"": -90.225}"
REG_WEEKS_14_18_CONFIRMATION,dq2_outcome_hgb_l7_r5_surprise_ewm10,DQ2_EPA_HGB,0.6,1,settle,78,78,99.05553059652937,0.1269942699955504,0.06704930221917177,0.5256410256410257,105.80639764075713,1.2670500251978958,0.04811098527685571,-0.1593865090847864,0.1322735925997981,0.43502728372081634,0.8028,0.04753803910843846,59.080530596529364,109.08053059652937,"{"".15-.35"": 170.37961542898432, "".35-.65"": -2.133146451402352, "".65-.85"": 7.451870725479343, "".85-1"": 3.5571908934680474, ""0-.15"": -80.19999999999999}"
POSTSEASON_FINAL_AUDIT,dq2_outcome_hgb_l7_r5_surprise_ewm10,DQ2_EPA_HGB,0.6,1,settle,12,12,-31.514850663753418,-0.2626237555312785,-1.0025,0.4166666666666667,45.302974828375284,0.550910571232584,-0.060992602514387206,-0.7428262380220905,-0.26425015460729734,0.27926876623916774,0.1688,0.11671112507990425,-44.21712339102615,-21.48985066375342,"{"".15-.35"": -20.049999999999997, "".35-.65"": -15.325433572638532, "".65-.85"": 3.1328947368421063, "".85-1"": 0.7276881720430101}"
CONFIRMATION_PLUS_FINAL,dq2_outcome_hgb_l7_r5_surprise_ewm10,DQ2_EPA_HGB,0.6,1,settle,90,90,67.54067993277593,0.07504519992530659,0.06132978723404253,0.5111111111111111,105.80639764075713,1.153118748430687,0.033563840238023314,-0.18068967819360232,0.07326676093135492,0.3587960871967288,0.7032,0.042090436731455474,27.56567993277593,77.56567993277594,"{"".15-.35"": 150.3296154289843, "".35-.65"": -17.458580024040884, "".65-.85"": 10.58476546232145, "".85-1"": 4.284879065511058, ""0-.15"": -80.19999999999999}"
REG_WEEKS_14_18_CONFIRMATION,p11_cvw0.5_k3_c0.1_tnone,P11_V2_GRID,0.6,1,settle,74,74,31.675960146659854,0.04280535154954039,-1.0025,0.4594594594594595,67.86584299283228,1.0789924193183538,0.03156538964079122,-0.2662063499505701,0.034007762502956264,0.3756383140213663,0.5764,0.05110688203108687,-10.930618800708565,41.70096014665985,"{"".15-.35"": 201.97363248290847, "".35-.65"": -39.62211301268912, "".65-.85"": -15.242087048707909, "".85-1"": 4.866527725148411, ""0-.15"": -120.29999999999998}"
POSTSEASON_FINAL_AUDIT,p11_cvw0.5_k3_c0.1_tnone,P11_V2_GRID,0.6,1,settle,12,12,-52.011134538966814,-0.4334261211580568,-1.0025,0.3333333333333333,51.96113453896682,0.35148211298046356,-0.07695416448198372,-0.8612570621468926,-0.4334261211580568,0.03677128105317225,0.0384,0.09249105023249901,-61.986134538966816,-41.986134538966816,"{"".15-.35"": -30.074999999999996, "".35-.65"": 5.005970724191069, "".65-.85"": -6.892105263157893, ""0-.15"": -20.049999999999997}"
CONFIRMATION_PLUS_FINAL,p11_cvw0.5_k3_c0.1_tnone,P11_V2_GRID,0.6,1,settle,86,86,-20.335174392306975,-0.023645551618961556,-1.0025,0.4418604651162791,67.86584299283228,0.9577407015953721,0.01642312627482262,-0.3009195404208093,-0.026919609770445885,0.27220519082166367,0.4284,0.04522680158436487,-62.941753339675394,-10.310174392306976,"{"".15-.35"": 171.89863248290848, "".35-.65"": -34.616142288498054, "".65-.85"": -22.1341923118658, "".85-1"": 4.866527725148411, ""0-.15"": -140.34999999999997}"
REG_WEEKS_14_18_CONFIRMATION,p11_cvw0.5_k3_c0.1_tremaining_linear,P11_V2_GRID,0.6,1,settle,74,74,31.675960146659854,0.04280535154954039,-1.0025,0.4594594594594595,67.86584299283228,1.0789924193183538,0.03156538964079122,-0.26849515902069265,0.04118518509055366,0.3904020159370353,0.6008,0.05110688203108687,-10.930618800708565,41.70096014665985,"{"".15-.35"": 201.97363248290847, "".35-.65"": -39.62211301268912, "".65-.85"": -15.242087048707909, "".85-1"": 4.866527725148411, ""0-.15"": -120.29999999999998}"
POSTSEASON_FINAL_AUDIT,p11_cvw0.5_k3_c0.1_tremaining_linear,P11_V2_GRID,0.6,1,settle,12,12,-52.011134538966814,-0.4334261211580568,-1.0025,0.3333333333333333,51.96113453896682,0.35148211298046356,-0.07695416448198372,-0.8612570621468926,-0.43752824858757045,0.04244093477144337,0.041,0.09249105023249901,-61.986134538966816,-41.986134538966816,"{"".15-.35"": -30.074999999999996, "".35-.65"": 5.005970724191069, "".65-.85"": -6.892105263157893, ""0-.15"": -20.049999999999997}"
CONFIRMATION_PLUS_FINAL,p11_cvw0.5_k3_c0.1_tremaining_linear,P11_V2_GRID,0.6,1,settle,86,86,-20.335174392306975,-0.023645551618961556,-1.0025,0.4418604651162791,67.86584299283228,0.9577407015953721,0.01642312627482262,-0.30308772504298814,-0.028268168974105057,0.28020425479025335,0.4228,0.04522680158436487,-62.941753339675394,-10.310174392306976,"{"".15-.35"": 171.89863248290848, "".35-.65"": -34.616142288498054, "".65-.85"": -22.1341923118658, "".85-1"": 4.866527725148411, ""0-.15"": -140.34999999999997}"
REG_WEEKS_14_18_CONFIRMATION,p11_cvw0.5_k3_c0.1_telapsed_sqrt,P11_V2_GRID,0.6,1,settle,74,74,40.72573390231596,0.05503477554367027,-1.0025,0.4594594594594595,67.86584299283228,1.101560433671611,0.032497965236690234,-0.25594523723423973,0.05287999927550362,0.3908716276328604,0.6282,0.05055806086527688,-1.8808450450524603,50.75073390231596,"{"".15-.35"": 211.02340623856458, "".35-.65"": -39.62211301268912, "".65-.85"": -15.242087048707909, "".85-1"": 4.866527725148411, ""0-.15"": -120.29999999999998}"
POSTSEASON_FINAL_AUDIT,p11_cvw0.5_k3_c0.1_telapsed_sqrt,P11_V2_GRID,0.6,1,settle,12,12,-51.60297127366069,-0.43002476061383915,-1.0025,0.3333333333333333,51.96113453896682,0.3565714305029838,-0.0769243260995127,-0.8612570621468926,-0.43002476061383915,0.06638672263974935,0.048,0.0954360922063711,-61.986134538966816,-41.577971273660694,"{"".15-.35"": -30.074999999999996, "".35-.65"": 5.414133989497191, "".65-.85"": -6.892105263157893, ""0-.15"": -20.049999999999997}"
