scenario,latency_seconds,friction_bps,min_entry_price,max_entry_price,max_spread,period,signal_id,family,threshold_quantile,threshold,orientation,horizon,trades,games,pnl,mean_return,median_return,win_rate,max_drawdown,profit_factor,mean_fair_markout,median_weekly_score,mean_weekly_score,mean_weekly_pnl,positive_weeks,weeks
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,REG_WEEKS_14_18_CONFIRMATION,dq2_outcome_hgb_l15_r10_surprise_ewm10,DQ2_EPA_HGB,0.6,0.0808722506529674,1,settle,78,78,53.89358923504576,0.06909434517313556,-1.0025,0.48717948717948717,69.9591669568605,1.1343979781422588,0.0341372183638056,-18.880549713304283,-8.624369041219365,10.778717847009153,3,5
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,REG_WEEKS_14_18_CONFIRMATION,dq2_outcome_hgb_l7_r5_surprise_ewm5,DQ2_EPA_HGB,0.7,0.1476416999738668,1,settle,78,78,44.89849498333141,0.05756217305555305,-1.0025,0.44871794871794873,161.84365555827821,1.1041547178178543,0.015233396934444633,-19.91093284332312,-16.497221379178608,8.97969899666628,3,5
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,REG_WEEKS_14_18_CONFIRMATION,dq2_outcome_hgb_l7_r5_surprise_ewm10,DQ2_EPA_HGB,0.6,0.0875126599862819,1,settle,78,78,99.05553059652937,0.1269942699955504,0.06704930221917177,0.5256410256410257,105.80639764075713,1.2670500251978958,0.04811098527685571,-5.573934071211539,-1.092926701880701,19.811106119305872,4,5
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,REG_WEEKS_14_18_CONFIRMATION,p11_cvw0.5_k3_c0.1_tnone,P11_V2_GRID,0.6,3.1930212085612006,1,settle,74,74,31.675960146659854,0.04280535154954039,-1.0025,0.4594594594594595,67.86584299283228,1.0789924193183538,0.03156538964079122,-1.6247065180888534,-13.849677953520375,6.335192029331975,3,5
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,REG_WEEKS_14_18_CONFIRMATION,p11_cvw0.5_k3_c0.1_tremaining_linear,P11_V2_GRID,0.6,0.15965106042806,1,settle,74,74,31.675960146659854,0.04280535154954039,-1.0025,0.4594594594594595,67.86584299283228,1.0789924193183538,0.03156538964079122,-1.6247065180888534,-13.849677953520375,6.335192029331975,3,5
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,REG_WEEKS_14_18_CONFIRMATION,p11_cvw0.5_k3_c0.1_telapsed_sqrt,P11_V2_GRID,0.6,3.1828501141215737,1,settle,74,74,40.72573390231596,0.05503477554367027,-1.0025,0.4594594594594595,67.86584299283228,1.101560433671611,0.032497965236690234,-0.6293057537732842,-12.039723202389151,8.145146780463197,3,5
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,REG_WEEKS_14_18_CONFIRMATION,p11_cvw0.5_k3_c0.1_tp11_cosine,P11_V2_GRID,0.6,0.3221907791020931,1,settle,73,73,41.70096014665987,0.057124602940629994,-1.0025,0.4657534246575342,67.86584299283228,1.1066588916085685,0.03673075921233919,-1.6247065180888534,-11.844677953520378,8.340192029331973,3,5
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,REG_WEEKS_14_18_CONFIRMATION,dq2_process_hgb_l15_r10_surprise_ewm5,DQ2_EPA_HGB,0.8,0.5176337005850116,-1,settle,77,77,11.169939481314444,0.014506414910797957,0.16029069767441867,0.5974025974025974,101.65150060026787,1.0359422073246385,0.0096901670532803,-19.307818980023058,-16.371194582276104,2.233987896262886,2,5
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,REG_WEEKS_14_18_CONFIRMATION,dq2_process_hgb_l7_r5_surprise_ewm10,DQ2_EPA_HGB,0.6,0.2542854895101879,1,settle,78,78,131.41147927425268,0.16847625547981115,-0.46486559139784944,0.5,62.018181818181816,1.336112230383664,0.08947912354359713,-38.67035125307733,4.042290394561013,26.282295854850542,2,5
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,REG_WEEKS_14_18_CONFIRMATION,dq2_market_hgb_15m_l7_r5,DQ2_MARKET_HGB,0.8,0.0398489669697667,-1,30m,76,47,44.49509472247992,0.058546177266420946,-0.0025,0.4868421052631579,17.146739121222126,1.5565337063329165,0.023303164760886064,-1.1398155378076753,3.6371910372558545,8.899018944495984,3,5
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,REG_WEEKS_14_18_CONFIRMATION,dq2_market_hgb_15m_l7_r5,DQ2_MARKET_HGB,0.85,0.0461950882524378,-1,30m,51,35,42.13852167993749,0.08262455231360297,0.030833333333333438,0.5490196078431373,28.735003035382086,1.6317567285156833,0.02590262146605891,3.355486788590772,3.5569010155170835,8.427704335987501,3,5
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,REG_WEEKS_14_18_CONFIRMATION,dq2_market_hgb_15m_l15_r10,DQ2_MARKET_HGB,0.95,0.0855382209696666,-1,5m,29,20,5.38641950568437,0.01857386036442887,-0.041461038961038976,0.3448275862068966,16.142588994389616,1.2118233624882262,-0.008846637364289906,0.07018067904263037,-0.9821653630775706,1.0772839011368738,3,5
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,REG_WEEKS_14_18_CONFIRMATION,dq2_market_hgb_15m_l31_r20,DQ2_MARKET_HGB,0.7,0.0415017778949682,1,settle,69,69,2.8591357705425438,0.004143675029771771,-1.0025,0.43478260869565216,91.9541124736777,1.0073128352721854,0.0017127522370019384,9.074588107900663,-24.341522901632853,0.571827154108503,3,5
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,REG_WEEKS_14_18_CONFIRMATION,prior_sq_process_adjustment_ewm5,PRIOR_SQ_EPA,0.8,0.628218750930896,-1,30m,199,69,29.302640765558255,0.014724945108320736,-0.0867105263157894,0.4371859296482412,105.01969445614176,1.066795427880941,0.011685746150651807,10.850210295424766,-18.382140261682572,5.8605281531116455,3,5
