signal_id,family,description,inputs,information_horizon
p11_cvw0_k0_c0.04_tnone,P11_V2_GRID,"P11 cumulative DQ-minus-score margin with cv_weight=0, shrink_k=0, coefficient=0.04, time=none","yards, attempts, cumulative CV means, score, clock",POST_PLAY_RETROSPECTIVE_CV
p11_cvw0_k0_c0.04_tp11_cosine,P11_V2_GRID,"P11 cumulative DQ-minus-score margin with cv_weight=0, shrink_k=0, coefficient=0.04, time=p11_cosine","yards, attempts, cumulative CV means, score, clock",POST_PLAY_RETROSPECTIVE_CV
p11_cvw0_k0_c0.04_tremaining_linear,P11_V2_GRID,"P11 cumulative DQ-minus-score margin with cv_weight=0, shrink_k=0, coefficient=0.04, time=remaining_linear","yards, attempts, cumulative CV means, score, clock",POST_PLAY_RETROSPECTIVE_CV
p11_cvw0_k0_c0.04_telapsed_sqrt,P11_V2_GRID,"P11 cumulative DQ-minus-score margin with cv_weight=0, shrink_k=0, coefficient=0.04, time=elapsed_sqrt","yards, attempts, cumulative CV means, score, clock",POST_PLAY_RETROSPECTIVE_CV
p11_cvw0_k0_c0.055_tnone,P11_V2_GRID,"P11 cumulative DQ-minus-score margin with cv_weight=0, shrink_k=0, coefficient=0.055, time=none","yards, attempts, cumulative CV means, score, clock",POST_PLAY_RETROSPECTIVE_CV
p11_cvw0_k0_c0.055_tp11_cosine,P11_V2_GRID,"P11 cumulative DQ-minus-score margin with cv_weight=0, shrink_k=0, coefficient=0.055, time=p11_cosine","yards, attempts, cumulative CV means, score, clock",POST_PLAY_RETROSPECTIVE_CV
p11_cvw0_k0_c0.055_tremaining_linear,P11_V2_GRID,"P11 cumulative DQ-minus-score margin with cv_weight=0, shrink_k=0, coefficient=0.055, time=remaining_linear","yards, attempts, cumulative CV means, score, clock",POST_PLAY_RETROSPECTIVE_CV
p11_cvw0_k0_c0.055_telapsed_sqrt,P11_V2_GRID,"P11 cumulative DQ-minus-score margin with cv_weight=0, shrink_k=0, coefficient=0.055, time=elapsed_sqrt","yards, attempts, cumulative CV means, score, clock",POST_PLAY_RETROSPECTIVE_CV
p11_cvw0_k0_c0.07_tnone,P11_V2_GRID,"P11 cumulative DQ-minus-score margin with cv_weight=0, shrink_k=0, coefficient=0.07, time=none","yards, attempts, cumulative CV means, score, clock",POST_PLAY_RETROSPECTIVE_CV
p11_cvw0_k0_c0.07_tp11_cosine,P11_V2_GRID,"P11 cumulative DQ-minus-score margin with cv_weight=0, shrink_k=0, coefficient=0.07, time=p11_cosine","yards, attempts, cumulative CV means, score, clock",POST_PLAY_RETROSPECTIVE_CV
p11_cvw0_k0_c0.07_tremaining_linear,P11_V2_GRID,"P11 cumulative DQ-minus-score margin with cv_weight=0, shrink_k=0, coefficient=0.07, time=remaining_linear","yards, attempts, cumulative CV means, score, clock",POST_PLAY_RETROSPECTIVE_CV
p11_cvw0_k0_c0.07_telapsed_sqrt,P11_V2_GRID,"P11 cumulative DQ-minus-score margin with cv_weight=0, shrink_k=0, coefficient=0.07, time=elapsed_sqrt","yards, attempts, cumulative CV means, score, clock",POST_PLAY_RETROSPECTIVE_CV
p11_cvw0_k0_c0.085_tnone,P11_V2_GRID,"P11 cumulative DQ-minus-score margin with cv_weight=0, shrink_k=0, coefficient=0.085, time=none","yards, attempts, cumulative CV means, score, clock",POST_PLAY_RETROSPECTIVE_CV
p11_cvw0_k0_c0.085_tp11_cosine,P11_V2_GRID,"P11 cumulative DQ-minus-score margin with cv_weight=0, shrink_k=0, coefficient=0.085, time=p11_cosine","yards, attempts, cumulative CV means, score, clock",POST_PLAY_RETROSPECTIVE_CV
p11_cvw0_k0_c0.085_tremaining_linear,P11_V2_GRID,"P11 cumulative DQ-minus-score margin with cv_weight=0, shrink_k=0, coefficient=0.085, time=remaining_linear","yards, attempts, cumulative CV means, score, clock",POST_PLAY_RETROSPECTIVE_CV
p11_cvw0_k0_c0.085_telapsed_sqrt,P11_V2_GRID,"P11 cumulative DQ-minus-score margin with cv_weight=0, shrink_k=0, coefficient=0.085, time=elapsed_sqrt","yards, attempts, cumulative CV means, score, clock",POST_PLAY_RETROSPECTIVE_CV
p11_cvw0_k0_c0.1_tnone,P11_V2_GRID,"P11 cumulative DQ-minus-score margin with cv_weight=0, shrink_k=0, coefficient=0.1, time=none","yards, attempts, cumulative CV means, score, clock",POST_PLAY_RETROSPECTIVE_CV
p11_cvw0_k0_c0.1_tp11_cosine,P11_V2_GRID,"P11 cumulative DQ-minus-score margin with cv_weight=0, shrink_k=0, coefficient=0.1, time=p11_cosine","yards, attempts, cumulative CV means, score, clock",POST_PLAY_RETROSPECTIVE_CV
p11_cvw0_k0_c0.1_tremaining_linear,P11_V2_GRID,"P11 cumulative DQ-minus-score margin with cv_weight=0, shrink_k=0, coefficient=0.1, time=remaining_linear","yards, attempts, cumulative CV means, score, clock",POST_PLAY_RETROSPECTIVE_CV
p11_cvw0_k0_c0.1_telapsed_sqrt,P11_V2_GRID,"P11 cumulative DQ-minus-score margin with cv_weight=0, shrink_k=0, coefficient=0.1, time=elapsed_sqrt","yards, attempts, cumulative CV means, score, clock",POST_PLAY_RETROSPECTIVE_CV
p11_cvw0.25_k0_c0.04_tnone,P11_V2_GRID,"P11 cumulative DQ-minus-score margin with cv_weight=0.25, shrink_k=0, coefficient=0.04, time=none","yards, attempts, cumulative CV means, score, clock",POST_PLAY_RETROSPECTIVE_CV
p11_cvw0.25_k0_c0.04_tp11_cosine,P11_V2_GRID,"P11 cumulative DQ-minus-score margin with cv_weight=0.25, shrink_k=0, coefficient=0.04, time=p11_cosine","yards, attempts, cumulative CV means, score, clock",POST_PLAY_RETROSPECTIVE_CV
p11_cvw0.25_k0_c0.04_tremaining_linear,P11_V2_GRID,"P11 cumulative DQ-minus-score margin with cv_weight=0.25, shrink_k=0, coefficient=0.04, time=remaining_linear","yards, attempts, cumulative CV means, score, clock",POST_PLAY_RETROSPECTIVE_CV
p11_cvw0.25_k0_c0.04_telapsed_sqrt,P11_V2_GRID,"P11 cumulative DQ-minus-score margin with cv_weight=0.25, shrink_k=0, coefficient=0.04, time=elapsed_sqrt","yards, attempts, cumulative CV means, score, clock",POST_PLAY_RETROSPECTIVE_CV
p11_cvw0.25_k0_c0.055_tnone,P11_V2_GRID,"P11 cumulative DQ-minus-score margin with cv_weight=0.25, shrink_k=0, coefficient=0.055, time=none","yards, attempts, cumulative CV means, score, clock",POST_PLAY_RETROSPECTIVE_CV
