period,signal_id,family,threshold_quantile,threshold,orientation,horizon,trades,games,pnl,mean_return,median_return,win_rate,max_drawdown,profit_factor,mean_fair_markout,median_weekly_score,mean_weekly_score,mean_weekly_pnl,positive_weeks,weeks
REG_WEEKS_14_18_CONFIRMATION,tweak_process_outcome_epa_ensemble,DQ2_TWEAK_ENSEMBLE,0.8,0.9158541345063291,1,settle,74,74,-80.33544662610207,-0.10856141435959744,-1.0025,0.4189189189189189,122.2061536968092,0.8136392817349601,-0.023807226689353166,-30.644835765327546,-38.029921911940114,-16.06708932522041,2,5
REG_WEEKS_14_18_CONFIRMATION,tweak_process_outcome_agreement,DQ2_TWEAK_AGREEMENT,0.8,1.5641421815391412,1,settle,74,74,210.55254927254526,0.284530471989926,-1.0025,0.4594594594594595,68.59106292992516,1.5250687014277935,0.06518099664136169,4.734025550472936,23.32334381755164,42.110509854509054,3,5
REG_WEEKS_14_18_CONFIRMATION,tweak_process_outcome_ensemble,DQ2_TWEAK_ENSEMBLE,0.85,1.5079970473606323,1,settle,74,74,182.51888191626833,0.24664713772468688,-1.0025,0.4594594594594595,78.88021234640019,1.4551593065243602,0.05059394760612558,-26.50014431229188,16.68769540464877,36.50377638325368,2,5
REG_WEEKS_14_18_CONFIRMATION,tweak_outcome_epa_ensemble,DQ2_TWEAK_ENSEMBLE,0.85,1.172298631049096,-1,settle,68,68,-66.97819710729182,-0.09849734868719387,-1.0025,0.4117647058823529,123.54306672852084,0.8329720770391722,-0.05455626235730725,-68.07344107195676,-39.978504007355845,-13.395639421458366,1,5
REG_WEEKS_14_18_CONFIRMATION,tweak_process_uncertainty_scaled,DQ2_TWEAK_PRICE_AWARE,0.6,0.4255413557822185,1,settle,76,76,51.86323169453037,0.06824109433490838,-1.0025,0.4605263157894737,97.61677215189874,1.1261802364686586,0.021511874903732905,-85.4861861598605,-22.332231606835922,10.372646338906073,2,5
REG_WEEKS_14_18_CONFIRMATION,tweak_outcome_epa_agreement,DQ2_TWEAK_AGREEMENT,0.8,1.3042297086372814,-1,settle,46,46,73.95118416185306,0.1607634438301153,-1.0025,0.2608695652173913,142.93155737704924,1.2169610801286581,-0.014784356643597703,-38.065788446526135,-13.926280974299834,14.790236832370605,2,5
REG_WEEKS_14_18_CONFIRMATION,tweak_process_epa_ensemble,DQ2_TWEAK_ENSEMBLE,0.8,0.9452602120503795,1,settle,74,74,116.33504612871869,0.15720952179556572,0.055730683090705446,0.5135135135135135,62.61649772263516,1.3223470383173146,0.04081583773722777,-2.8049296734010554,6.8399935388668265,23.267009225743728,3,5
REG_WEEKS_14_18_CONFIRMATION,tweak_outcome_uncertainty_scaled,DQ2_TWEAK_PRICE_AWARE,0.8,0.8553897795105581,1,settle,73,73,-17.217479757959943,-0.023585588709534193,-1.0025,0.4657534246575342,91.7005779116183,0.955962709232151,-0.00918033141263722,-18.544640199393704,-21.198066071394667,-3.4434959515919936,2,5
REG_WEEKS_14_18_CONFIRMATION,tweak_outcome_remaining_time_scaled,DQ2_TWEAK_TIME_AWARE,0.9,0.1955260315222922,-1,settle,67,67,192.8192280289763,0.28778989258056153,0.072768817204301,0.5970149253731343,57.621974439227984,1.7123643780510809,0.05769809121924819,-7.270967119364112,21.71620882526977,38.56384560579526,3,5
REG_WEEKS_14_18_CONFIRMATION,tweak_market_uncertainty_scaled,DQ2_TWEAK_PRICE_AWARE,0.85,1.1654701584764322,-1,30m,77,50,5.590638761962826,0.007260569820730947,-0.0025,0.4805194805194805,37.03979336628815,1.045524712774248,0.008088760124938,-19.529760064279273,-6.686702201051711,1.1181277523925643,2,5
REG_WEEKS_14_18_CONFIRMATION,tweak_process_outcome_epa_ensemble,DQ2_TWEAK_ENSEMBLE,0.6,0.5590538939184704,1,settle,78,78,61.9230420211607,0.07938851541174453,-1.0025,0.44871794871794873,88.76981476955521,1.1436479545813627,0.014062737478764912,-12.660690820396926,-11.067642475337683,12.384608404232143,3,5
REG_WEEKS_14_18_CONFIRMATION,tweak_outcome_epa_agreement,DQ2_TWEAK_AGREEMENT,0.9,1.7236665271576777,1,15m,37,25,-9.62113068871407,-0.026003055915443427,-0.02355263157894732,0.40540540540540543,16.634800268132356,0.6712790738838519,-0.005759315792023311,-1.506569247511589,-3.9906433825488037,-1.924226137742814,2,5
REG_WEEKS_14_18_CONFIRMATION,tweak_process_uncertainty_scaled,DQ2_TWEAK_PRICE_AWARE,0.95,1.8038741256252755,1,15m,145,56,-46.82790427269838,-0.03229510639496439,-0.0174253731343284,0.46206896551724136,71.70166203098216,0.7688488195903348,0.00897286036767166,-28.25920788541319,-20.796484350729493,-9.365580854539676,2,5
REG_WEEKS_14_18_CONFIRMATION,tweak_process_uncertainty_scaled,DQ2_TWEAK_PRICE_AWARE,0.9,1.299988181058947,1,15m,237,64,-114.11011041258566,-0.0481477259124834,-0.03583333333333333,0.41350210970464135,128.05265810257282,0.6584012438842356,0.002321825345051198,-39.785476021910746,-39.88273708854477,-22.82202208251713,0,5
REG_WEEKS_14_18_CONFIRMATION,tweak_outcome_epa_agreement,DQ2_TWEAK_AGREEMENT,0.9,1.7236665271576777,1,5m,52,25,-4.983205361173352,-0.009583087233025683,-0.01797619047619053,0.3269230769230769,9.911949189482602,0.7992321325252423,0.0058232352669327445,-3.321587084143101,-2.7827050413387493,-0.9966410722346707,2,5
REG_WEEKS_14_18_CONFIRMATION,tweak_outcome_epa_agreement,DQ2_TWEAK_AGREEMENT,0.85,1.5000079826371508,1,5m,74,35,1.1746502431251469,0.001587365193412358,-0.01566017316017315,0.3783783783783784,12.01522966554234,1.0395401224976966,0.013230840754437067,0.9717872894802677,-1.9305000887542778,0.23493004862502956,3,5
REG_WEEKS_14_18_CONFIRMATION,tweak_market_uncertainty_scaled,DQ2_TWEAK_PRICE_AWARE,0.95,1.9567040515379002,-1,5m,28,14,-23.455523228781892,-0.08376972581707819,-0.08336312118570183,0.2857142857142857,26.845892330863585,0.37324365809032806,-0.011727484142490351,-2.6123886265154104,-7.959462488686424,-4.691104645756378,1,5
REG_WEEKS_14_18_CONFIRMATION,tweak_outcome_epa_agreement,DQ2_TWEAK_AGREEMENT,0.6,0.9527671418323564,-1,30m,99,57,-82.466359856517,-0.08329935339042117,-0.15634615384615386,0.3333333333333333,79.77272931053757,0.6807240534919498,-0.011266831246329762,-5.99260824240212,-33.92796691262697,-16.493271971303393,3,5
